,Area_code,Age_group,Sample_size,Positive,Symptom,ses,Pop,death
128,13132,4,0,0,0,93.74,4798,54
56,13114,4,1,0,0,88.32,15584,272
92,13123,4,1,0,0,73.37,8170,135
60,13115,4,0,0,0,68,2094,52
52,13113,4,0,0,0,67.52,4105,70
80,13120,4,0,0,0,62.64,11648,214
127,13132,3,1,0,0,93.74,18148,25
55,13114,3,10,1,2,88.32,55659,90
91,13123,3,4,0,1,73.37,23775,62
59,13115,3,5,0,0,68,13661,33
51,13113,3,8,0,2,67.52,16816,29
79,13120,3,8,0,4,62.64,37903,101
126,13132,2,4,0,0,93.74,24010,4
54,13114,2,13,0,1,88.32,80540,16
90,13123,2,6,0,3,73.37,35603,17
58,13115,2,13,1,3,68,34759,8
50,13113,2,8,1,2,67.52,26676,8
78,13120,2,21,0,6,62.64,60342,20
125,13132,1,11,1,4,93.74,49818,0
53,13114,1,33,1,7,88.32,178976,3
89,13123,1,16,1,5,73.37,90201,0
57,13115,1,8,1,5,68,73562,0
49,13113,1,6,0,2,67.52,52655,0
77,13120,1,23,1,5,62.64,140299,3
120,13130,4,0,0,0,46.66,4946,94
119,13130,3,2,1,1,46.66,18616,115
118,13130,2,4,0,0,46.66,32154,19
117,13130,1,9,1,1,46.66,77343,5
72,13118,4,2,1,1,44.98,5186,76
71,13118,3,2,0,1,44.98,22233,74
70,13118,2,5,0,3,44.98,33013,23
69,13118,1,11,0,3,44.98,74203,1
100,13125,4,1,0,1,43.99,2322,60
99,13125,3,4,0,4,43.99,21817,95
98,13125,2,20,4,8,43.99,68739,44
97,13125,1,16,1,5,43.99,161816,11
4,13101,4,1,0,0,42.89,9950,172
3,13101,3,16,2,3,42.89,46368,207
2,13101,2,28,4,8,42.89,105299,73
1,13101,1,74,8,22,42.89,341530,20
28,13107,4,1,0,0,41.94,1957,59
27,13107,3,2,0,0,41.94,13188,89
26,13107,2,6,0,1,41.94,30321,27
25,13107,1,13,1,4,41.94,67062,3
76,13119,4,2,0,1,41.61,10562,238
75,13119,3,19,0,3,41.61,77410,342
74,13119,2,52,6,14,41.61,157886,93
73,13119,1,68,13,24,41.61,332747,14
40,13110,4,0,0,0,40.72,10145,192
39,13110,3,16,2,6,40.72,67383,323
38,13110,2,24,3,6,40.72,100701,57
37,13110,1,35,3,15,40.72,224204,12
88,13122,4,1,0,0,35.88,5362,136
87,13122,3,9,1,2,35.88,35843,202
86,13122,2,24,5,16,35.88,72594,51
85,13122,1,32,6,11,35.88,152999,9
132,13201,4,4,1,0,35.73,9631,236
131,13201,3,12,0,5,35.73,73406,433
130,13201,2,44,7,11,35.73,171462,141
129,13201,1,67,10,23,35.73,391410,18
8,13102,4,1,0,0,35.64,2476,35
7,13102,3,1,0,0,35.64,12153,40
6,13102,2,5,1,1,35.64,22462,15
5,13102,1,7,1,3,35.64,51865,5
96,13124,4,4,0,0,34.95,4184,75
95,13124,3,8,1,3,34.95,30291,155
94,13124,2,16,2,9,34.95,67698,54
93,13124,1,25,4,11,34.95,150966,13
36,13109,4,0,0,0,33.07,4062,86
35,13109,3,5,1,1,33.07,16137,65
34,13109,2,3,0,1,33.07,24134,15
33,13109,1,6,1,3,33.07,56101,3
112,13128,4,0,0,0,31.47,3111,63
